	Series	VOI	Maximum	Mean	Peak	TBR_Mean	TBR_Maximum
0	PET - Dynamic 40min DYN 3DMAC - frame 1 (0s)	ROI 2 - Sphere	1.72	0.71	0.69	1.09	2.65
1	PET - Dynamic 40min DYN 3DMAC - frame 2 (30s)	ROI 2 - Sphere	2.17	1.18	1.18	1.46	2.68
2	PET - Dynamic 40min DYN 3DMAC - frame 3 (60s)	ROI 2 - Sphere	3.35	1.65	1.79	1.99	4.04
3	PET - Dynamic 40min DYN 3DMAC - frame 4 (90s)	ROI 2 - Sphere	3.48	1.72	1.68	2.02	4.09
4	PET - Dynamic 40min DYN 3DMAC - frame 5 (120s)	ROI 2 - Sphere	4.25	1.74	1.77	1.98	4.83
5	PET - Dynamic 40min DYN 3DMAC - frame 6 (150s)	ROI 2 - Sphere	3.59	2.04	2.14	2.1	3.7
6	PET - Dynamic 40min DYN 3DMAC - frame 7 (180s)	ROI 2 - Sphere	3.59	1.88	1.86	2.02	3.86
7	PET - Dynamic 40min DYN 3DMAC - frame 8 (210s)	ROI 2 - Sphere	3.61	2.16	2.26	2.27	3.8
8	PET - Dynamic 40min DYN 3DMAC - frame 9 (240s)	ROI 2 - Sphere	3.34	2.14	2.21	2.21	3.44
9	PET - Dynamic 40min DYN 3DMAC - frame 10 (270s)	ROI 2 - Sphere	3.28	2.08	2.1	2.19	3.45
10	PET - Dynamic 40min DYN 3DMAC - frame 11 (300s)	ROI 2 - Sphere	3.25	2.09	2.14	2.13	3.32
11	PET - Dynamic 40min DYN 3DMAC - frame 12 (360s)	ROI 2 - Sphere	3.18	2.29	2.37	2.16	3.0
12	PET - Dynamic 40min DYN 3DMAC - frame 13 (420s)	ROI 2 - Sphere	4.32	2.28	2.33	2.17	4.11
13	PET - Dynamic 40min DYN 3DMAC - frame 14 (480s)	ROI 2 - Sphere	3.83	2.28	2.25	2.09	3.51
14	PET - Dynamic 40min DYN 3DMAC - frame 15 (540s)	ROI 2 - Sphere	4.05	2.65	2.76	2.48	3.79
15	PET - Dynamic 40min DYN 3DMAC - frame 16 (600s)	ROI 2 - Sphere	3.57	2.55	2.6	2.32	3.25
16	PET - Dynamic 40min DYN 3DMAC - frame 17 (780s)	ROI 2 - Sphere	3.27	2.4	2.49	2.16	2.95
17	PET - Dynamic 40min DYN 3DMAC - frame 18 (960s)	ROI 2 - Sphere	3.41	2.63	2.73	2.31	2.99
18	PET - Dynamic 40min DYN 3DMAC - frame 19 (1140s)	ROI 2 - Sphere	3.67	2.64	2.75	2.28	3.16
19	PET - Dynamic 40min DYN 3DMAC - frame 20 (1320s)	ROI 2 - Sphere	3.69	2.67	2.79	2.3	3.18
20	PET - Dynamic 40min DYN 3DMAC - frame 21 (1500s)	ROI 2 - Sphere	3.54	2.65	2.79	2.28	3.05
21	PET - Dynamic 40min DYN 3DMAC - frame 22 (1680s)	ROI 2 - Sphere	3.76	2.74	2.87	2.26	3.11
22	PET - Dynamic 40min DYN 3DMAC - frame 23 (1860s)	ROI 2 - Sphere	3.62	2.4	2.47	2.02	3.04
23	PET - Dynamic 40min DYN 3DMAC - frame 24 (2040s)	ROI 2 - Sphere	3.79	2.53	2.69	2.13	3.18
24	PET - Dynamic 40min DYN 3DMAC - frame 25 (2220s)	ROI 2 - Sphere	3.37	2.51	2.59	2.04	2.74
25	PET - 10-31min	ROI 2 - Sphere	3.26	2.6	2.7	2.26	2.83
