	Series	VOI	Maximum	Mean	Peak
0	PET - Dynamic 40min DYN 3DMAC - frame 1 (0s)	ROI 5 - Sphere	5.91	1.64	1.75
1	PET - Dynamic 40min DYN 3DMAC - frame 2 (15s)	ROI 5 - Sphere	5.1	1.32	1.47
2	PET - Dynamic 40min DYN 3DMAC - frame 3 (30s)	ROI 5 - Sphere	5.78	1.55	1.47
3	PET - Dynamic 40min DYN 3DMAC - frame 4 (45s)	ROI 5 - Sphere	7.84	2.48	2.53
4	PET - Dynamic 40min DYN 3DMAC - frame 5 (60s)	ROI 5 - Sphere	4.71	1.93	2.02
5	PET - Dynamic 40min DYN 3DMAC - frame 6 (75s)	ROI 5 - Sphere	6.03	1.93	1.91
6	PET - Dynamic 40min DYN 3DMAC - frame 7 (90s)	ROI 5 - Sphere	6.44	1.81	1.91
7	PET - Dynamic 40min DYN 3DMAC - frame 8 (105s)	ROI 5 - Sphere	7.44	1.88	2.12
8	PET - Dynamic 40min DYN 3DMAC - frame 9 (120s)	ROI 5 - Sphere	4.69	1.36	1.21
9	PET - Dynamic 40min DYN 3DMAC - frame 10 (135s)	ROI 5 - Sphere	7.67	2.43	2.65
10	PET - Dynamic 40min DYN 3DMAC - frame 11 (150s)	ROI 5 - Sphere	5.97	1.78	1.95
11	PET - Dynamic 40min DYN 3DMAC - frame 12 (165s)	ROI 5 - Sphere	7.8	1.88	1.78
12	PET - Dynamic 40min DYN 3DMAC - frame 13 (180s)	ROI 5 - Sphere	7.68	2.32	2.47
13	PET - Dynamic 40min DYN 3DMAC - frame 14 (195s)	ROI 5 - Sphere	7.14	2.47	2.69
14	PET - Dynamic 40min DYN 3DMAC - frame 15 (210s)	ROI 5 - Sphere	9.81	2.55	2.84
15	PET - Dynamic 40min DYN 3DMAC - frame 16 (225s)	ROI 5 - Sphere	7.29	2.52	2.73
16	PET - Dynamic 40min DYN 3DMAC - frame 17 (240s)	ROI 5 - Sphere	7.27	2.8	2.84
17	PET - Dynamic 40min DYN 3DMAC - frame 18 (255s)	ROI 5 - Sphere	6.05	1.83	1.86
18	PET - Dynamic 40min DYN 3DMAC - frame 19 (270s)	ROI 5 - Sphere	5.88	2.08	2.18
19	PET - Dynamic 40min DYN 3DMAC - frame 20 (285s)	ROI 5 - Sphere	8.22	2.89	3.21
20	PET - Dynamic 40min DYN 3DMAC - frame 21 (300s)	ROI 5 - Sphere	5.19	2.13	2.14
21	PET - Dynamic 40min DYN 3DMAC - frame 22 (315s)	ROI 5 - Sphere	8.79	2.38	2.63
22	PET - Dynamic 40min DYN 3DMAC - frame 23 (330s)	ROI 5 - Sphere	6.73	2.51	2.52
23	PET - Dynamic 40min DYN 3DMAC - frame 24 (345s)	ROI 5 - Sphere	6.48	2.48	2.81
24	PET - Dynamic 40min DYN 3DMAC - frame 25 (360s)	ROI 5 - Sphere	7.4	2.26	2.42
25	PET - Dynamic 40min DYN 3DMAC - frame 26 (375s)	ROI 5 - Sphere	7.46	2.39	2.49
26	PET - Dynamic 40min DYN 3DMAC - frame 27 (390s)	ROI 5 - Sphere	6.6	2.87	3.02
27	PET - Dynamic 40min DYN 3DMAC - frame 28 (405s)	ROI 5 - Sphere	7.61	2.93	3.04
28	PET - Dynamic 40min DYN 3DMAC - frame 29 (420s)	ROI 5 - Sphere	7.44	2.55	2.54
29	PET - Dynamic 40min DYN 3DMAC - frame 30 (435s)	ROI 5 - Sphere	8.01	2.92	3.26
30	PET - Dynamic 40min DYN 3DMAC - frame 31 (450s)	ROI 5 - Sphere	5.93	1.87	1.84
31	PET - Dynamic 40min DYN 3DMAC - frame 32 (465s)	ROI 5 - Sphere	5.8	2.19	2.14
32	PET - Dynamic 40min DYN 3DMAC - frame 33 (480s)	ROI 5 - Sphere	5.8	2.25	2.42
33	PET - Dynamic 40min DYN 3DMAC - frame 34 (495s)	ROI 5 - Sphere	5.6	2.02	1.91
34	PET - Dynamic 40min DYN 3DMAC - frame 35 (510s)	ROI 5 - Sphere	11.45	3.06	3.07
35	PET - Dynamic 40min DYN 3DMAC - frame 36 (525s)	ROI 5 - Sphere	9.54	2.29	2.23
36	PET - Dynamic 40min DYN 3DMAC - frame 37 (540s)	ROI 5 - Sphere	9.29	2.98	3.2
37	PET - Dynamic 40min DYN 3DMAC - frame 38 (555s)	ROI 5 - Sphere	6.76	2.82	3.08
38	PET - Dynamic 40min DYN 3DMAC - frame 39 (570s)	ROI 5 - Sphere	7.63	2.58	2.61
39	PET - Dynamic 40min DYN 3DMAC - frame 40 (585s)	ROI 5 - Sphere	6.05	2.77	3.05
40	PET - Dynamic 40min DYN 3DMAC - frame 41 (600s)	ROI 5 - Sphere	6.35	2.6	2.67
41	PET - Dynamic 40min DYN 3DMAC - frame 42 (630s)	ROI 5 - Sphere	7.0	2.31	2.4
42	PET - Dynamic 40min DYN 3DMAC - frame 43 (660s)	ROI 5 - Sphere	5.21	2.35	2.39
43	PET - Dynamic 40min DYN 3DMAC - frame 44 (690s)	ROI 5 - Sphere	7.03	2.53	2.46
44	PET - Dynamic 40min DYN 3DMAC - frame 45 (720s)	ROI 5 - Sphere	6.39	2.41	2.56
45	PET - Dynamic 40min DYN 3DMAC - frame 46 (750s)	ROI 5 - Sphere	5.1	2.59	2.87
46	PET - Dynamic 40min DYN 3DMAC - frame 47 (780s)	ROI 5 - Sphere	5.96	2.28	2.5
47	PET - Dynamic 40min DYN 3DMAC - frame 48 (810s)	ROI 5 - Sphere	7.82	2.46	2.48
48	PET - Dynamic 40min DYN 3DMAC - frame 49 (840s)	ROI 5 - Sphere	4.07	1.95	2.01
49	PET - Dynamic 40min DYN 3DMAC - frame 50 (870s)	ROI 5 - Sphere	7.01	1.94	2.02
50	PET - Dynamic 40min DYN 3DMAC - frame 51 (900s)	ROI 5 - Sphere	5.54	1.81	1.73
51	PET - Dynamic 40min DYN 3DMAC - frame 52 (930s)	ROI 5 - Sphere	5.78	2.22	2.04
52	PET - Dynamic 40min DYN 3DMAC - frame 53 (960s)	ROI 5 - Sphere	5.92	1.97	1.93
53	PET - Dynamic 40min DYN 3DMAC - frame 54 (990s)	ROI 5 - Sphere	5.61	2.33	2.61
54	PET - Dynamic 40min DYN 3DMAC - frame 55 (1020s)	ROI 5 - Sphere	5.9	2.23	2.41
55	PET - Dynamic 40min DYN 3DMAC - frame 56 (1050s)	ROI 5 - Sphere	5.94	2.25	2.4
56	PET - Dynamic 40min DYN 3DMAC - frame 57 (1080s)	ROI 5 - Sphere	8.12	2.3	2.31
57	PET - Dynamic 40min DYN 3DMAC - frame 58 (1110s)	ROI 5 - Sphere	6.51	2.22	2.16
58	PET - Dynamic 40min DYN 3DMAC - frame 59 (1140s)	ROI 5 - Sphere	10.38	1.85	1.79
59	PET - Dynamic 40min DYN 3DMAC - frame 60 (1170s)	ROI 5 - Sphere	5.75	2.25	2.39
60	PET - Dynamic 40min DYN 3DMAC - frame 61 (1200s)	ROI 5 - Sphere	5.55	2.34	2.38
61	PET - Dynamic 40min DYN 3DMAC - frame 62 (1320s)	ROI 5 - Sphere	4.91	2.07	2.09
62	PET - Dynamic 40min DYN 3DMAC - frame 63 (1440s)	ROI 5 - Sphere	6.73	2.44	2.53
63	PET - Dynamic 40min DYN 3DMAC - frame 64 (1560s)	ROI 5 - Sphere	5.18	2.08	2.09
64	PET - Dynamic 40min DYN 3DMAC - frame 65 (1680s)	ROI 5 - Sphere	6.15	2.2	2.29
65	PET - Dynamic 40min DYN 3DMAC - frame 66 (1800s)	ROI 5 - Sphere	5.23	2.1	2.16
66	PET - Dynamic 40min DYN 3DMAC - frame 67 (1920s)	ROI 5 - Sphere	5.4	2.65	2.76
67	PET - Dynamic 40min DYN 3DMAC - frame 68 (2040s)	ROI 5 - Sphere	5.74	2.73	2.81
68	PET - Dynamic 40min DYN 3DMAC - frame 69 (2160s)	ROI 5 - Sphere	5.39	2.48	2.55
69	PET - Dynamic 40min DYN 3DMAC - frame 70 (2280s)	ROI 5 - Sphere	6.0	2.86	3.21
70	PET - 10-30	ROI 5 - Sphere	4.78	2.24	2.3
