	Series	VOI	Mean
0	PET - 10-30	ROI 2 - Sphere	0.02
1	CT - STD 1.0 mm	ROI 2 - Sphere	-10.2
2	PET - Dynamic 40min DYN 3DMAC - frame 1 (0s)	ROI 2 - Sphere	0.15
3	PET - Dynamic 40min DYN 3DMAC - frame 2 (15s)	ROI 2 - Sphere	0.24
4	PET - Dynamic 40min DYN 3DMAC - frame 3 (30s)	ROI 2 - Sphere	0.19
5	PET - Dynamic 40min DYN 3DMAC - frame 4 (45s)	ROI 2 - Sphere	0.23
6	PET - Dynamic 40min DYN 3DMAC - frame 5 (60s)	ROI 2 - Sphere	0.26
7	PET - Dynamic 40min DYN 3DMAC - frame 6 (75s)	ROI 2 - Sphere	0.19
8	PET - Dynamic 40min DYN 3DMAC - frame 7 (90s)	ROI 2 - Sphere	0.17
9	PET - Dynamic 40min DYN 3DMAC - frame 8 (105s)	ROI 2 - Sphere	0.24
10	PET - Dynamic 40min DYN 3DMAC - frame 9 (120s)	ROI 2 - Sphere	0.33
11	PET - Dynamic 40min DYN 3DMAC - frame 10 (135s)	ROI 2 - Sphere	0.23
12	PET - Dynamic 40min DYN 3DMAC - frame 11 (150s)	ROI 2 - Sphere	0.24
13	PET - Dynamic 40min DYN 3DMAC - frame 12 (165s)	ROI 2 - Sphere	0.26
14	PET - Dynamic 40min DYN 3DMAC - frame 13 (180s)	ROI 2 - Sphere	0.23
15	PET - Dynamic 40min DYN 3DMAC - frame 14 (195s)	ROI 2 - Sphere	0.19
16	PET - Dynamic 40min DYN 3DMAC - frame 15 (210s)	ROI 2 - Sphere	0.25
17	PET - Dynamic 40min DYN 3DMAC - frame 16 (225s)	ROI 2 - Sphere	0.21
18	PET - Dynamic 40min DYN 3DMAC - frame 17 (240s)	ROI 2 - Sphere	0.2
19	PET - Dynamic 40min DYN 3DMAC - frame 18 (255s)	ROI 2 - Sphere	0.18
20	PET - Dynamic 40min DYN 3DMAC - frame 19 (270s)	ROI 2 - Sphere	0.17
21	PET - Dynamic 40min DYN 3DMAC - frame 20 (285s)	ROI 2 - Sphere	0.24
22	PET - Dynamic 40min DYN 3DMAC - frame 21 (300s)	ROI 2 - Sphere	0.28
23	PET - Dynamic 40min DYN 3DMAC - frame 22 (315s)	ROI 2 - Sphere	0.23
24	PET - Dynamic 40min DYN 3DMAC - frame 23 (330s)	ROI 2 - Sphere	0.21
25	PET - Dynamic 40min DYN 3DMAC - frame 24 (345s)	ROI 2 - Sphere	0.18
26	PET - Dynamic 40min DYN 3DMAC - frame 25 (360s)	ROI 2 - Sphere	0.35
27	PET - Dynamic 40min DYN 3DMAC - frame 26 (375s)	ROI 2 - Sphere	0.27
28	PET - Dynamic 40min DYN 3DMAC - frame 27 (390s)	ROI 2 - Sphere	0.21
29	PET - Dynamic 40min DYN 3DMAC - frame 28 (405s)	ROI 2 - Sphere	0.23
30	PET - Dynamic 40min DYN 3DMAC - frame 29 (420s)	ROI 2 - Sphere	0.21
31	PET - Dynamic 40min DYN 3DMAC - frame 30 (435s)	ROI 2 - Sphere	0.23
32	PET - Dynamic 40min DYN 3DMAC - frame 31 (450s)	ROI 2 - Sphere	0.28
33	PET - Dynamic 40min DYN 3DMAC - frame 32 (465s)	ROI 2 - Sphere	0.28
34	PET - Dynamic 40min DYN 3DMAC - frame 33 (480s)	ROI 2 - Sphere	0.27
35	PET - Dynamic 40min DYN 3DMAC - frame 34 (495s)	ROI 2 - Sphere	0.24
36	PET - Dynamic 40min DYN 3DMAC - frame 35 (510s)	ROI 2 - Sphere	0.34
37	PET - Dynamic 40min DYN 3DMAC - frame 36 (525s)	ROI 2 - Sphere	0.29
38	PET - Dynamic 40min DYN 3DMAC - frame 37 (540s)	ROI 2 - Sphere	0.27
39	PET - Dynamic 40min DYN 3DMAC - frame 38 (555s)	ROI 2 - Sphere	0.3
40	PET - Dynamic 40min DYN 3DMAC - frame 39 (570s)	ROI 2 - Sphere	0.33
41	PET - Dynamic 40min DYN 3DMAC - frame 40 (585s)	ROI 2 - Sphere	0.27
42	PET - Dynamic 40min DYN 3DMAC - frame 41 (600s)	ROI 2 - Sphere	0.25
43	PET - Dynamic 40min DYN 3DMAC - frame 42 (630s)	ROI 2 - Sphere	0.33
